msa_match_key,msa_name,indian_pop,indian_pop_cagr,advanced_degrees,advanced_degree_cagr,median_home_value,median_income,indian_pop_hybrid,msa_name_zillow,price_start,price_end,appreciation_pct,appreciation_cagr,algorithm_score,algorithm_rank
bloomington,"Bloomington, IN Metro Area",8,-41.999013966474664,16645,-0.3124460653556205,159800,47365.0,-37.92888897665806,"Bloomington, IN",181771.71144065648,273036.26363767276,50.20833631024686,8.477285043866644,-37.92888897665806,1789.5
bloomsburg,"Bloomsburg-Berwick, PA Metro Area",14,20.507113208761506,4632,3.235441228370428,155700,50947.0,23.50377737938907,"Bloomsburg, PA",177942.4532053869,230541.28456845705,29.559461733597026,5.315871758795754,23.50377737938907,387.0
bluefield,"Bluefield, WV-VA Micro Area",0,0.0,3841,5.307704124633683,93900,40218.0,0.0,"Bluefield, WV",90023.91313998912,137474.80263367228,52.709205630615074,8.836118192935839,0.0,1022.0
blytheville,"Blytheville, AR Micro Area",0,0.0,1116,-3.9646294357670753,82700,37237.0,0.0,"Blytheville, AR",81572.09929362273,101988.38546361309,25.028516302493276,4.568725667641971,0.0,1022.0
bogalusa,"Bogalusa, LA Micro Area",17,4.260360145884445,1051,-1.3577736693408338,88500,34985.0,5.242155546186502,"Bogalusa, LA",119315.19681975292,129770.11807513425,8.762438929866878,1.6941071250160755,5.242155546186502,516.0
boise city,"Boise City, ID Metro Area",369,62.49598632350597,38251,4.334483035543557,214300,57105.0,160.42884467155585,"Boise City, ID",278471.2678805041,465984.7308951992,67.33673618894132,10.845549023963086,160.42884467155585,112.0
boone,"Boone, IA Micro Area",0,0.0,1048,3.326699953298795,131900,61111.0,0.0,"Boone, NC",273308.6953945421,486045.82960105874,77.83767505070199,12.20307375696712,0.0,1022.0
boone,"Boone, NC Micro Area",4,0.0,4815,71.77405265492689,239400,45268.0,0.0,"Boone, NC",273308.6953945421,486045.82960105874,77.83767505070199,12.20307375696712,0.0,1022.0
boone,"Boone, IA Micro Area",0,0.0,1048,-38.34714925495775,131900,61111.0,0.0,"Boone, NC",273308.6953945421,486045.82960105874,77.83767505070199,12.20307375696712,0.0,1022.0
boone,"Boone, NC Micro Area",4,0.0,4815,2.493934626692096,239400,45268.0,0.0,"Boone, NC",273308.6953945421,486045.82960105874,77.83767505070199,12.20307375696712,0.0,1022.0
borger,"Borger, TX Micro Area",0,0.0,444,-5.25183179584695,77300,50651.0,0.0,"Borger, TX",100601.16249857174,111910.34876507727,11.241605947313072,2.1535467846517165,0.0,1022.0
boston,"Boston-Cambridge-Newton, MA-NH Metro Area",2890,3.3102963335646107,604899,3.8587537561173058,414700,85508.0,11.45659743971867,"Boston, MA",477816.7954349132,667903.878949836,39.78241981676342,6.927770310719361,11.45659743971867,474.0
boulder,"Boulder, CO Metro Area",421,12.714101950184741,49662,1.7963779193728824,462200,78642.0,33.36539011249917,"Boulder, CO",524412.1949975424,721843.5426256222,37.648122891002764,6.5992277916298026,33.36539011249917,338.0
